Date,Open,High,Low,Close,Adj Close,Volume
2000-08-21,59000.000000,59300.000000,54400.000000,54900.000000,51807.242188,255700
2000-08-22,56100.000000,61400.000000,56100.000000,61400.000000,57941.066406,1016600
2000-08-23,62200.000000,62800.000000,56400.000000,58400.000000,55110.078125,800100
2000-08-24,60000.000000,64700.000000,57100.000000,59600.000000,56242.468750,958900
2000-08-25,60000.000000,66200.000000,58300.000000,62700.000000,59167.835938,1423100
2000-08-28,66700.000000,70200.000000,66300.000000,70200.000000,66245.328125,409000
2000-08-29,73700.000000,75200.000000,69500.000000,70400.000000,66434.054688,1569400
2000-08-30,70300.000000,72000.000000,68500.000000,69500.000000,65584.765625,642300
2000-08-31,70500.000000,70800.000000,63500.000000,69200.000000,65301.671875,566900
2000-09-01,69200.000000,75800.000000,69200.000000,71700.000000,67660.820313,1502300
2000-09-04,70500.000000,72400.000000,69500.000000,70000.000000,66056.585938,433300
2000-09-05,70500.000000,71500.000000,67600.000000,71300.000000,67283.375000,463300
2000-09-06,70000.000000,73600.000000,69300.000000,69400.000000,65490.394531,590000
2000-09-07,69300.000000,70400.000000,67100.000000,67700.000000,63886.160156,388800
2000-09-08,69000.000000,70600.000000,67600.000000,70200.000000,66245.328125,464500
2000-09-11,70200.000000,70200.000000,70200.000000,70200.000000,66245.328125,0
2000-09-12,70200.000000,70200.000000,70200.000000,70200.000000,66245.328125,0
2000-09-13,70200.000000,70200.000000,70200.000000,70200.000000,66245.328125,0
2000-09-14,70100.000000,71100.000000,67600.000000,71000.000000,67000.265625,448400
2000-09-15,70000.000000,72500.000000,68100.000000,68200.000000,64358.007813,497400
2000-09-18,65300.000000,66000.000000,60100.000000,60100.000000,56714.300781,569800
2000-09-19,59100.000000,62500.000000,56900.000000,60300.000000,56903.042969,550400
2000-09-20,63500.000000,64700.000000,61200.000000,61500.000000,58035.437500,473400
2000-09-21,60000.000000,63000.000000,57200.000000,59400.000000,56053.738281,635200
2000-09-22,58000.000000,58800.000000,52300.000000,52300.000000,49353.707031,595500
2000-09-25,53600.000000,58000.000000,52800.000000,55300.000000,52184.707031,698600
2000-09-26,53900.000000,57300.000000,53700.000000,54800.000000,51712.882813,724500
2000-09-27,55200.000000,61200.000000,55100.000000,59900.000000,56525.574219,931100
2000-09-28,60300.000000,60800.000000,57500.000000,58300.000000,55015.707031,609800
2000-09-29,60000.000000,60400.000000,58000.000000,58200.000000,54921.339844,485600
2000-10-02,57000.000000,57600.000000,55100.000000,56500.000000,53317.113281,337300
2000-10-03,56500.000000,56500.000000,56500.000000,56500.000000,53317.113281,0
2000-10-04,54000.000000,57200.000000,53700.000000,55200.000000,52090.347656,395400
2000-10-05,56900.000000,60600.000000,56600.000000,58000.000000,54732.601563,831100
2000-10-06,56200.000000,61100.000000,56200.000000,58000.000000,54732.601563,1011700
2000-10-09,59100.000000,59500.000000,54000.000000,55100.000000,51995.972656,748500
2000-10-10,56000.000000,58300.000000,54700.000000,57500.000000,54260.777344,929000
2000-10-11,55500.000000,55900.000000,51200.000000,51800.000000,48881.882813,646500
2000-10-12,49000.000000,51500.000000,48050.000000,49000.000000,46239.617188,487800
2000-10-13,45000.000000,46000.000000,43150.000000,44450.000000,41945.937500,483800
2000-10-16,44450.000000,44450.000000,44450.000000,44450.000000,41945.937500,0
2000-10-17,46550.000000,47350.000000,43050.000000,43050.000000,40624.804688,430900
2000-10-18,40800.000000,42800.000000,38500.000000,40900.000000,38595.921875,771800
2000-10-19,41500.000000,42300.000000,39150.000000,39850.000000,37605.070313,418900
2000-10-20,42500.000000,42900.000000,40050.000000,40400.000000,38124.093750,615200
2000-10-23,39100.000000,40950.000000,37300.000000,37300.000000,35198.726563,403400
2000-10-24,36300.000000,38450.000000,35500.000000,36300.000000,34255.062500,737400
2000-10-25,36000.000000,37300.000000,35400.000000,35750.000000,33736.046875,398700
2000-10-26,34750.000000,35300.000000,31650.000000,32450.000000,30621.949219,595500
2000-10-27,32450.000000,32450.000000,32450.000000,32450.000000,30621.949219,0
2000-10-30,29300.000000,30200.000000,26950.000000,27100.000000,25573.337891,578500
2000-10-31,26600.000000,30350.000000,24500.000000,30350.000000,28640.250000,1661400
2000-11-01,31250.000000,32200.000000,29000.000000,29200.000000,27555.039063,1282900
2000-11-02,30500.000000,32700.000000,29350.000000,32700.000000,30857.867188,1415900
2000-11-03,33700.000000,36200.000000,33600.000000,34000.000000,32084.636719,1595300
2000-11-06,33500.000000,34700.000000,32650.000000,33400.000000,31518.435547,733300
2000-11-07,33300.000000,35450.000000,32800.000000,32850.000000,30999.416016,1055200
2000-11-08,32900.000000,33750.000000,31100.000000,31250.000000,29489.548828,813900
2000-11-09,30200.000000,32500.000000,29800.000000,31100.000000,29348.001953,762000
2000-11-10,31000.000000,32450.000000,30600.000000,31150.000000,29395.183594,670200
2000-11-13,30200.000000,30500.000000,28200.000000,28650.000000,27036.019531,373000
2000-11-14,28150.000000,29900.000000,28150.000000,29200.000000,27555.039063,475900
2000-11-15,30500.000000,32700.000000,30250.000000,31800.000000,30008.568359,1422100
2000-11-16,32300.000000,32400.000000,30050.000000,30500.000000,28781.802734,494000
2000-11-17,29900.000000,30900.000000,29550.000000,30100.000000,28404.335938,416000
2000-11-20,29700.000000,30700.000000,29500.000000,30000.000000,28309.966797,308300
2000-11-21,29200.000000,29500.000000,27850.000000,29450.000000,27790.953125,345100
2000-11-22,28500.000000,30000.000000,28450.000000,28500.000000,26894.466797,297500
2000-11-23,27900.000000,27900.000000,25250.000000,25950.000000,24488.121094,382900
2000-11-24,26150.000000,26800.000000,24800.000000,26100.000000,24629.675781,381400
2000-11-27,27000.000000,28400.000000,26700.000000,27700.000000,26139.541016,525900
2000-11-28,26500.000000,26850.000000,25350.000000,25600.000000,24157.837891,310000
2000-11-29,24000.000000,24400.000000,22900.000000,23350.000000,22034.591797,344200
2000-11-30,23500.000000,26150.000000,22400.000000,25100.000000,23686.005859,949100
2000-12-01,24000.000000,26800.000000,23200.000000,25400.000000,23969.111328,1429700
2000-12-04,25400.000000,25400.000000,25400.000000,25400.000000,23969.111328,0
2000-12-05,23500.000000,26400.000000,23500.000000,25600.000000,24157.837891,868300
2000-12-06,27150.000000,27400.000000,23850.000000,24200.000000,22836.708984,1127000
2000-12-07,24000.000000,24400.000000,23050.000000,23400.000000,22081.773438,387300
2000-12-08,23000.000000,25000.000000,22850.000000,24000.000000,22647.972656,655700
2000-12-11,24300.000000,25100.000000,23600.000000,24100.000000,22742.341797,788700
2000-12-12,24300.000000,24500.000000,23000.000000,23100.000000,21798.675781,396900
2000-12-13,22650.000000,23900.000000,22650.000000,23350.000000,22034.591797,347800
2000-12-14,22800.000000,23150.000000,22600.000000,22850.000000,21562.757813,230900
2000-12-15,22100.000000,22650.000000,21500.000000,21650.000000,20430.359375,263400
2000-12-18,20750.000000,22600.000000,20700.000000,21300.000000,20100.074219,584300
2000-12-19,21000.000000,21150.000000,18850.000000,19200.000000,18118.384766,448000
2000-12-20,18150.000000,18850.000000,16900.000000,16900.000000,15947.949219,529600
2000-12-21,16000.000000,16200.000000,14900.000000,14900.000000,14060.617188,716700
2000-12-22,15050.000000,15500.000000,13250.000000,13550.000000,12786.668945,821300
2000-12-25,13550.000000,13550.000000,13550.000000,13550.000000,12786.668945,0
2000-12-26,13850.000000,15150.000000,13850.000000,14700.000000,13871.884766,1050100
2000-12-27,14700.000000,14700.000000,14700.000000,14700.000000,13871.884766,0
2000-12-28,14700.000000,14700.000000,14700.000000,14700.000000,13871.884766,0
2000-12-29,14700.000000,14700.000000,14700.000000,14700.000000,13871.884766,0
2001-01-01,14700.000000,14700.000000,14700.000000,14700.000000,13871.884766,0
2001-01-02,14700.000000,16450.000000,14700.000000,16450.000000,15523.298828,452100
2001-01-03,16800.000000,18400.000000,16300.000000,18400.000000,17363.449219,1475400
2001-01-04,20600.000000,20600.000000,20600.000000,20600.000000,19439.509766,94200
2001-01-05,21850.000000,23050.000000,21000.000000,23050.000000,21751.492188,1289600
2001-01-08,22050.000000,25600.000000,21900.000000,25000.000000,23591.640625,1704700
2001-01-09,25100.000000,28000.000000,24200.000000,28000.000000,26422.636719,1858000
2001-01-10,28200.000000,31350.000000,24650.000000,24650.000000,23261.355469,2320400
2001-01-11,25850.000000,27600.000000,24700.000000,27600.000000,26045.173828,1924200
2001-01-12,30100.000000,30900.000000,30100.000000,30900.000000,29159.267578,435700
2001-01-15,34600.000000,34600.000000,34600.000000,34600.000000,32650.835938,119000
2001-01-16,35000.000000,38750.000000,34200.000000,38750.000000,36567.042969,4249400
2001-01-17,36000.000000,40750.000000,34500.000000,38100.000000,35953.660156,4291300
2001-01-18,37900.000000,38900.000000,33550.000000,33550.000000,31659.984375,2905200
2001-01-19,33600.000000,36500.000000,30250.000000,32100.000000,30291.667969,3533800
2001-01-22,32100.000000,35950.000000,31550.000000,35950.000000,33924.777344,2921800
2001-01-23,35950.000000,35950.000000,35950.000000,35950.000000,33924.777344,0
2001-01-24,35950.000000,35950.000000,35950.000000,35950.000000,33924.777344,0
2001-01-25,35950.000000,35950.000000,35950.000000,35950.000000,33924.777344,0
2001-01-26,36500.000000,38500.000000,33600.000000,34900.000000,32933.925781,4194400
2001-01-29,34000.000000,35500.000000,31500.000000,31850.000000,30055.751953,1714300
2001-01-30,32300.000000,33500.000000,29900.000000,30200.000000,28498.703125,1206000
2001-01-31,29550.000000,33800.000000,28300.000000,33800.000000,31895.898438,1570100
2001-02-01,34600.000000,37850.000000,34500.000000,34900.000000,32933.925781,2583700
2001-02-02,36200.000000,36950.000000,33500.000000,34400.000000,32462.095703,2304000
2001-02-05,33450.000000,33500.000000,30300.000000,30500.000000,28781.802734,1091500
2001-02-06,31000.000000,33450.000000,30400.000000,33450.000000,31565.619141,1846500
2001-02-07,32200.000000,33900.000000,30600.000000,31000.000000,29253.636719,1400100
2001-02-08,31600.000000,33200.000000,31450.000000,32050.000000,30244.484375,1023800
2001-02-09,31950.000000,32400.000000,31400.000000,31700.000000,29914.201172,622800
2001-02-12,30500.000000,33600.000000,30500.000000,32300.000000,30480.398438,1040700
2001-02-13,33300.000000,34000.000000,31600.000000,32850.000000,30999.416016,687500
2001-02-14,32500.000000,33500.000000,32150.000000,32500.000000,30669.132813,504500
2001-02-15,33500.000000,36400.000000,32850.000000,36400.000000,34349.425781,1740900
2001-02-16,37500.000000,40250.000000,36150.000000,36900.000000,34821.265625,3098500
2001-02-19,36600.000000,38450.000000,36100.000000,38000.000000,35859.292969,1321700
2001-02-20,38800.000000,38850.000000,35550.000000,36500.000000,34443.792969,1159400
2001-02-21,34600.000000,35900.000000,34000.000000,34050.000000,32131.820313,700000
2001-02-22,32550.000000,33200.000000,30700.000000,31800.000000,30008.568359,997200
2001-02-23,31500.000000,33700.000000,31500.000000,33700.000000,31801.531250,959900
2001-02-26,34500.000000,34800.000000,31700.000000,32600.000000,30763.500000,1110100
2001-02-27,33000.000000,33350.000000,29850.000000,29950.000000,28262.787109,807700
